cohort,time,event_time,estimate,std_error
25,38,13,-0.019594484644095453,0.013332838222783673
25,39,14,-0.006308522362939384,0.01819345088198521
25,40,15,-0.0324845564376543,0.012230140635063278
25,41,16,-0.047905169960355876,0.018183185034250912
25,42,17,-0.024637346481009237,0.014206473873759555
25,43,18,-0.009442870884639187,0.018507934773191778
25,44,19,-0.03908248331220215,0.01413633392411436
29,1,-28,0.005507093625435111,0.006867304270750986
29,2,-27,-6.805162174052803e-4,0.00943942586011725
29,3,-26,-0.016398705082547982,0.012863685108210085
29,4,-25,-9.295087502073918e-4,0.008754336388460866
29,5,-24,-0.0013519847296077359,0.006596760913838552
29,6,-23,-0.010007993293332906,0.009132734979132947
29,7,-22,-0.027296810687140557,0.012980784155397058
29,8,-21,-0.009459150954790135,0.00810043942970565
29,9,-20,-0.009859082891208265,0.005816156710122491
29,10,-19,-0.015405230959943922,0.007790261020498534
29,11,-18,-0.027212345882621225,0.011909821930943539
29,12,-17,0.002799989386786189,0.007135452688377846
29,13,-16,0.003646573353314586,0.005596276990573486
29,14,-15,-0.009668194864372828,0.007529178019397523
29,15,-14,-0.028566354182730472,0.01047812075208685
29,16,-13,-0.00962775663161304,0.005941974297430413
29,17,-12,-0.007697368739302865,0.004560529649759642
29,18,-11,-0.018988936102211112,0.005874614145336644
29,19,-10,-0.037166028386154557,0.009761008151584073
29,20,-9,-0.027537799650937264,0.004132394788006266
29,21,-8,-0.012446515312320133,0.0030796178174894474
29,22,-7,-0.02056064166114063,0.004213087677002653
29,23,-6,-0.036732370764820485,0.008308688188600944
29,24,-5,-0.0175987178818209,0.0027680763067237392
29,25,-4,-0.011536917118983026,0.00295924504276521
29,26,-3,-0.017276441020237447,0.003071060279504232
29,27,-2,-0.02545297186155798,0.007337200449520077
29,28,-1,0,NA
29,29,0,0.005481804101671884,0.0032102916885958176
29,30,1,-0.0036303168357228258,0.0035409736736006156
29,31,2,-0.018986305406158657,0.007261901536083727
29,32,3,-0.0054866214063929095,0.0028750906258169853
29,33,4,-0.0011416198861992884,0.00423997244091466
29,34,5,-0.0077964673315250865,0.0046096772890512816
29,35,6,-0.02072769591354326,0.005679694109433433
29,36,7,-0.004181016111201065,0.004061696402871064
29,37,8,-5.114833557494543e-4,0.005757001834716832
29,38,9,-0.011263142932759596,0.006146079251685092
29,39,10,-0.01903742916611506,0.006727475934166548
29,40,11,-8.550228696056622e-4,0.0060728582775456535
29,41,12,0.0050703567354475,0.00765545716975472
29,42,13,-0.007537517962185714,0.00792546084592679
29,43,14,-0.016520131132087043,0.008163351136504465
29,44,15,0.0030205448000616836,0.007948459064169815
31,1,-30,-0.05007877739385658,0.009011344657591673
31,2,-29,-0.061216654545718396,0.009763304942807867
31,3,-28,-0.04706209548903739,0.013193140497065414
31,4,-27,-0.04459793934094511,0.009752177181500026
31,5,-26,-0.052031856721486774,0.008526667430130253
31,6,-25,-0.05730008613727072,0.00944896980414991
31,7,-24,-0.04742778119752736,0.012768386733842643
31,8,-23,-0.04780550063819283,0.009152915591375193
31,9,-22,-0.05080089283911546,0.008273772255584923
31,10,-21,-0.0617773441786473,0.008000068244196482
31,11,-20,-0.05009897426341542,0.011572911331288722
31,12,-19,-0.051879304680101185,0.008510896516267505
31,13,-18,-0.055601512385060864,0.008112581935588
31,14,-17,-0.05942720385699146,0.007911939890613342
31,15,-16,-0.039278269007196553,0.010745306583162924
